epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.68172,2.90072,4.13347,2.53979,0.00433,0.28717,0.00435,0.00108,2.83005,3.83224,2.77442,0.0892,0.0012,0.0012
2,13.8283,2.06174,4.06227,1.94475,0.00854,0.51489,0.021,0.00807,1.65597,3.80154,1.74055,0.0774951,0.00249505,0.00249505
3,19.5568,1.49552,3.72853,1.42731,0.01465,0.92229,0.10341,0.055,1.32921,3.47572,1.27959,0.065785,0.00378495,0.00378495
4,25.4015,1.48524,3.1343,1.34068,0.46964,0.26478,0.17003,0.09231,1.38063,2.93758,1.33177,0.0540697,0.00506971,0.00506971
5,32.3392,1.47173,2.71014,1.35949,0.44668,0.17941,0.18609,0.09256,1.38201,3.12448,1.42504,0.0423493,0.00634931,0.00634931
6,38.9429,1.51847,2.3783,1.40969,0.57337,0.36729,0.35279,0.17013,1.4892,2.24245,1.38355,0.0306238,0.00762377,0.00762377
7,46.1187,1.48045,2.169,1.36196,0.51338,0.4833,0.39316,0.22446,1.36467,2.31583,1.29672,0.0188931,0.00889308,0.00889308
8,51.5359,1.49544,1.96674,1.34983,0.6145,0.62539,0.46245,0.27306,1.3656,1.57981,1.3115,0.0098614,0.0098614,0.0098614
9,58.7691,1.49251,1.79193,1.35611,0.63052,0.56776,0.52354,0.29095,1.44537,1.58238,1.37945,0.0098416,0.0098416,0.0098416
10,64.2653,1.47311,1.64901,1.36703,0.48233,0.57925,0.49767,0.29852,1.36355,1.68892,1.29156,0.0098218,0.0098218,0.0098218
11,71.2286,1.45447,1.57314,1.36006,0.65201,0.55115,0.57395,0.35338,1.34397,1.41746,1.35784,0.009802,0.009802,0.009802
12,76.9553,1.42387,1.43721,1.33617,0.76371,0.63235,0.62073,0.37418,1.33393,1.2107,1.31089,0.0097822,0.0097822,0.0097822
13,82.6436,1.38882,1.42953,1.31654,0.92093,0.58851,0.67288,0.37977,1.44748,1.1364,1.46727,0.0097624,0.0097624,0.0097624
